bootstrap_seed,bootstrap_state,ci,clusters,confidence,count,defined,detector,estimate,invalid_replicates,lower,metric,model,positives,prevalence,run,score,seed,uncertainty_source,underpowered,upper,valid_replicates
20263918,defined,"[0.42809177428561845, 0.4527043394433384]",3996,0.95,35964,True,confidence_only,0.4398369557811086,0,0.42809177428561845,average_precision,resnet50,6493,0.180541652763875,resnet50-seed17,confidence_only,17,original_image_cluster_bootstrap_within_seed,False,0.4527043394433384,2000
20263919,defined,"[0.7608425856023402, 0.773414414753993]",3996,0.95,35964,True,confidence_only,0.7672565872170197,0,0.7608425856023402,auroc,resnet50,6493,0.180541652763875,resnet50-seed17,confidence_only,17,original_image_cluster_bootstrap_within_seed,False,0.773414414753993,2000
20263928,defined,"[0.42704310013689717, 0.45199392514178083]",3996,0.95,35964,True,entropy_only,0.43916029407019624,0,0.42704310013689717,average_precision,resnet50,6493,0.180541652763875,resnet50-seed17,entropy_only,17,original_image_cluster_bootstrap_within_seed,False,0.45199392514178083,2000
20263929,defined,"[0.7593694690914525, 0.77200877577084]",3996,0.95,35964,True,entropy_only,0.7657734396696807,0,0.7593694690914525,auroc,resnet50,6493,0.180541652763875,resnet50-seed17,entropy_only,17,original_image_cluster_bootstrap_within_seed,False,0.77200877577084,2000
20263938,defined,"[0.42082451218106914, 0.44527788824612924]",3996,0.95,35964,True,output_only,0.4329054930778681,0,0.42082451218106914,average_precision,resnet50,6493,0.180541652763875,resnet50-seed17,output_only,17,original_image_cluster_bootstrap_within_seed,False,0.44527788824612924,2000
20263939,defined,"[0.7589062642558494, 0.7717608457754838]",3996,0.95,35964,True,output_only,0.7651629728615218,0,0.7589062642558494,auroc,resnet50,6493,0.180541652763875,resnet50-seed17,output_only,17,original_image_cluster_bootstrap_within_seed,False,0.7717608457754838,2000
20263948,defined,"[0.9391604265940401, 0.9466279069523921]",3996,0.95,35964,True,output_plus_representation,0.9429790809066902,0,0.9391604265940401,average_precision,resnet50,6493,0.180541652763875,resnet50-seed17,output_plus_representation,17,original_image_cluster_bootstrap_within_seed,False,0.9466279069523921,2000
20263949,defined,"[0.9832358982310867, 0.9858417456961162]",3996,0.95,35964,True,output_plus_representation,0.9845368354055155,0,0.9832358982310867,auroc,resnet50,6493,0.180541652763875,resnet50-seed17,output_plus_representation,17,original_image_cluster_bootstrap_within_seed,False,0.9858417456961162,2000
20263958,defined,"[0.9194171949146942, 0.9303840032551335]",3996,0.95,35964,True,representation_only,0.9250972457640476,0,0.9194171949146942,average_precision,resnet50,6493,0.180541652763875,resnet50-seed17,representation_only,17,original_image_cluster_bootstrap_within_seed,False,0.9303840032551335,2000
20263959,defined,"[0.967660298267195, 0.973946549894557]",3996,0.95,35964,True,representation_only,0.9708377409523584,0,0.967660298267195,auroc,resnet50,6493,0.180541652763875,resnet50-seed17,representation_only,17,original_image_cluster_bootstrap_within_seed,False,0.973946549894557,2000
20263930,defined,"[0.6181241689759812, 0.6438886426382067]",3993,0.95,35937,True,confidence_only,0.6302106793975186,0,0.6181241689759812,average_precision,resnet50,6666,0.1854912764003673,resnet50-seed29,confidence_only,29,original_image_cluster_bootstrap_within_seed,False,0.6438886426382067,2000
20263931,defined,"[0.9130785931127104, 0.9197802655314989]",3993,0.95,35937,True,confidence_only,0.9163456496310695,0,0.9130785931127104,auroc,resnet50,6666,0.1854912764003673,resnet50-seed29,confidence_only,29,original_image_cluster_bootstrap_within_seed,False,0.9197802655314989,2000
20263940,defined,"[0.621075704565927, 0.6465906000414173]",3993,0.95,35937,True,entropy_only,0.6335948146255754,0,0.621075704565927,average_precision,resnet50,6666,0.1854912764003673,resnet50-seed29,entropy_only,29,original_image_cluster_bootstrap_within_seed,False,0.6465906000414173,2000
20263941,defined,"[0.9131755019741304, 0.9195965700243157]",3993,0.95,35937,True,entropy_only,0.9163835877284561,0,0.9131755019741304,auroc,resnet50,6666,0.1854912764003673,resnet50-seed29,entropy_only,29,original_image_cluster_bootstrap_within_seed,False,0.9195965700243157,2000
20263950,defined,"[0.6172537905653784, 0.6428815572897403]",3993,0.95,35937,True,output_only,0.6297719295997224,0,0.6172537905653784,average_precision,resnet50,6666,0.1854912764003673,resnet50-seed29,output_only,29,original_image_cluster_bootstrap_within_seed,False,0.6428815572897403,2000
20263951,defined,"[0.912690606817035, 0.9191086977188001]",3993,0.95,35937,True,output_only,0.9159826969680672,0,0.912690606817035,auroc,resnet50,6666,0.1854912764003673,resnet50-seed29,output_only,29,original_image_cluster_bootstrap_within_seed,False,0.9191086977188001,2000
20263960,defined,"[0.9274115504398048, 0.9359872787808604]",3993,0.95,35937,True,output_plus_representation,0.9316318125477699,0,0.9274115504398048,average_precision,resnet50,6666,0.1854912764003673,resnet50-seed29,output_plus_representation,29,original_image_cluster_bootstrap_within_seed,False,0.9359872787808604,2000
20263961,defined,"[0.9808317753314504, 0.9832804567266037]",3993,0.95,35937,True,output_plus_representation,0.9820449965463901,0,0.9808317753314504,auroc,resnet50,6666,0.1854912764003673,resnet50-seed29,output_plus_representation,29,original_image_cluster_bootstrap_within_seed,False,0.9832804567266037,2000
20263970,defined,"[0.903384999213468, 0.9162714486356651]",3993,0.95,35937,True,representation_only,0.9099723269089526,0,0.903384999213468,average_precision,resnet50,6666,0.1854912764003673,resnet50-seed29,representation_only,29,original_image_cluster_bootstrap_within_seed,False,0.9162714486356651,2000
20263971,defined,"[0.9572112839925204, 0.9657774814972737]",3993,0.95,35937,True,representation_only,0.9616575447644181,0,0.9572112839925204,auroc,resnet50,6666,0.1854912764003673,resnet50-seed29,representation_only,29,original_image_cluster_bootstrap_within_seed,False,0.9657774814972737,2000
20263944,defined,"[0.45775146205585326, 0.4831524778481204]",3994,0.95,35946,True,confidence_only,0.4697738571349839,0,0.45775146205585326,average_precision,resnet50,6568,0.18271852222778612,resnet50-seed43,confidence_only,43,original_image_cluster_bootstrap_within_seed,False,0.4831524778481204,2000
20263945,defined,"[0.7665596646328378, 0.7794388771695601]",3994,0.95,35946,True,confidence_only,0.7731587927496186,0,0.7665596646328378,auroc,resnet50,6568,0.18271852222778612,resnet50-seed43,confidence_only,43,original_image_cluster_bootstrap_within_seed,False,0.7794388771695601,2000
20263954,defined,"[0.4540222633691168, 0.47925818015007504]",3994,0.95,35946,True,entropy_only,0.4660545981838572,0,0.4540222633691168,average_precision,resnet50,6568,0.18271852222778612,resnet50-seed43,entropy_only,43,original_image_cluster_bootstrap_within_seed,False,0.47925818015007504,2000
20263955,defined,"[0.7656356130070854, 0.7792849623692192]",3994,0.95,35946,True,entropy_only,0.7722511082186418,0,0.7656356130070854,auroc,resnet50,6568,0.18271852222778612,resnet50-seed43,entropy_only,43,original_image_cluster_bootstrap_within_seed,False,0.7792849623692192,2000
20263964,defined,"[0.445742880003107, 0.4711306295161799]",3994,0.95,35946,True,output_only,0.4583349704263895,0,0.445742880003107,average_precision,resnet50,6568,0.18271852222778612,resnet50-seed43,output_only,43,original_image_cluster_bootstrap_within_seed,False,0.4711306295161799,2000
20263965,defined,"[0.7651109082593877, 0.7781622100613352]",3994,0.95,35946,True,output_only,0.771579587922355,0,0.7651109082593877,auroc,resnet50,6568,0.18271852222778612,resnet50-seed43,output_only,43,original_image_cluster_bootstrap_within_seed,False,0.7781622100613352,2000
20263974,defined,"[0.937068415321836, 0.9460989831458446]",3994,0.95,35946,True,output_plus_representation,0.9415560368804263,0,0.937068415321836,average_precision,resnet50,6568,0.18271852222778612,resnet50-seed43,output_plus_representation,43,original_image_cluster_bootstrap_within_seed,False,0.9460989831458446,2000
20263975,defined,"[0.982269429288711, 0.9852158294076148]",3994,0.95,35946,True,output_plus_representation,0.9837891954165575,0,0.982269429288711,auroc,resnet50,6568,0.18271852222778612,resnet50-seed43,output_plus_representation,43,original_image_cluster_bootstrap_within_seed,False,0.9852158294076148,2000
20263984,defined,"[0.9117226791123023, 0.9251842520869702]",3994,0.95,35946,True,representation_only,0.9187039310637287,0,0.9117226791123023,average_precision,resnet50,6568,0.18271852222778612,resnet50-seed43,representation_only,43,original_image_cluster_bootstrap_within_seed,False,0.9251842520869702,2000
20263985,defined,"[0.9614417189636838, 0.968749714604639]",3994,0.95,35946,True,representation_only,0.9653136209625653,0,0.9614417189636838,auroc,resnet50,6568,0.18271852222778612,resnet50-seed43,representation_only,43,original_image_cluster_bootstrap_within_seed,False,0.968749714604639,2000
20263918,defined,"[0.4810059542544423, 0.5169193689928706]",3975,0.95,35775,True,confidence_only,0.4985441876305177,0,0.4810059542544423,average_precision,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,confidence_only,17,original_image_cluster_bootstrap_within_seed,False,0.5169193689928706,2000
20263919,defined,"[0.8870468998422185, 0.8983340170056873]",3975,0.95,35775,True,confidence_only,0.8925831793280853,0,0.8870468998422185,auroc,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,confidence_only,17,original_image_cluster_bootstrap_within_seed,False,0.8983340170056873,2000
20263928,defined,"[0.4894252580836023, 0.526219798710559]",3975,0.95,35775,True,entropy_only,0.5068974586551351,0,0.4894252580836023,average_precision,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,entropy_only,17,original_image_cluster_bootstrap_within_seed,False,0.526219798710559,2000
20263929,defined,"[0.8870001873341514, 0.898904350813725]",3975,0.95,35775,True,entropy_only,0.8928276913125476,0,0.8870001873341514,auroc,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,entropy_only,17,original_image_cluster_bootstrap_within_seed,False,0.898904350813725,2000
20263938,defined,"[0.4865914751245343, 0.5230880328124526]",3975,0.95,35775,True,output_only,0.5047934480464862,0,0.4865914751245343,average_precision,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,output_only,17,original_image_cluster_bootstrap_within_seed,False,0.5230880328124526,2000
20263939,defined,"[0.8867854403187019, 0.8986421177611461]",3975,0.95,35775,True,output_only,0.8927523846325855,0,0.8867854403187019,auroc,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,output_only,17,original_image_cluster_bootstrap_within_seed,False,0.8986421177611461,2000
20263948,defined,"[0.91416595128994, 0.9280802420100724]",3975,0.95,35775,True,output_plus_representation,0.9213030365222005,0,0.91416595128994,average_precision,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,output_plus_representation,17,original_image_cluster_bootstrap_within_seed,False,0.9280802420100724,2000
20263949,defined,"[0.9890085393618242, 0.9909526559035452]",3975,0.95,35775,True,output_plus_representation,0.9899799315268323,0,0.9890085393618242,auroc,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,output_plus_representation,17,original_image_cluster_bootstrap_within_seed,False,0.9909526559035452,2000
20263958,defined,"[0.9054415639724938, 0.9239065052186148]",3975,0.95,35775,True,representation_only,0.9146847273449219,0,0.9054415639724938,average_precision,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,representation_only,17,original_image_cluster_bootstrap_within_seed,False,0.9239065052186148,2000
20263959,defined,"[0.9702846258740067, 0.9794750693536571]",3975,0.95,35775,True,representation_only,0.9750318008529694,0,0.9702846258740067,auroc,vit_small_patch16_224,3684,0.1029769392033543,vit_small_patch16_224-seed17,representation_only,17,original_image_cluster_bootstrap_within_seed,False,0.9794750693536571,2000
20263930,defined,"[0.49319931255857496, 0.5276230640557337]",3898,0.95,35082,True,confidence_only,0.5098353903093513,0,0.49319931255857496,average_precision,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,confidence_only,29,original_image_cluster_bootstrap_within_seed,False,0.5276230640557337,2000
20263931,defined,"[0.8654829685452858, 0.8775975163456475]",3898,0.95,35082,True,confidence_only,0.8713966903297778,0,0.8654829685452858,auroc,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,confidence_only,29,original_image_cluster_bootstrap_within_seed,False,0.8775975163456475,2000
20263940,defined,"[0.5053473946609041, 0.5393613826314376]",3898,0.95,35082,True,entropy_only,0.5218890464991098,0,0.5053473946609041,average_precision,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,entropy_only,29,original_image_cluster_bootstrap_within_seed,False,0.5393613826314376,2000
20263941,defined,"[0.8668255586968668, 0.8791569308709517]",3898,0.95,35082,True,entropy_only,0.8730072996905374,0,0.8668255586968668,auroc,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,entropy_only,29,original_image_cluster_bootstrap_within_seed,False,0.8791569308709517,2000
20263950,defined,"[0.5011959435519148, 0.5358705170182926]",3898,0.95,35082,True,output_only,0.5184057665904261,0,0.5011959435519148,average_precision,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,output_only,29,original_image_cluster_bootstrap_within_seed,False,0.5358705170182926,2000
20263951,defined,"[0.8667250453732778, 0.8789188674174929]",3898,0.95,35082,True,output_only,0.8729371273587542,0,0.8667250453732778,auroc,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,output_only,29,original_image_cluster_bootstrap_within_seed,False,0.8789188674174929,2000
20263960,defined,"[0.875048744922942, 0.8919062985691545]",3898,0.95,35082,True,output_plus_representation,0.8836333843445842,0,0.875048744922942,average_precision,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,output_plus_representation,29,original_image_cluster_bootstrap_within_seed,False,0.8919062985691545,2000
20263961,defined,"[0.974867216915597, 0.9791551979501614]",3898,0.95,35082,True,output_plus_representation,0.9770355037921434,0,0.974867216915597,auroc,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,output_plus_representation,29,original_image_cluster_bootstrap_within_seed,False,0.9791551979501614,2000
20263970,defined,"[0.8473880642217032, 0.868204462384066]",3898,0.95,35082,True,representation_only,0.8582941528130645,0,0.8473880642217032,average_precision,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,representation_only,29,original_image_cluster_bootstrap_within_seed,False,0.868204462384066,2000
20263971,defined,"[0.9397158742145335, 0.951094825625087]",3898,0.95,35082,True,representation_only,0.9454214282333027,0,0.9397158742145335,auroc,vit_small_patch16_224,4602,0.13117838207627844,vit_small_patch16_224-seed29,representation_only,29,original_image_cluster_bootstrap_within_seed,False,0.951094825625087,2000
20263944,defined,"[0.44040276676722045, 0.474095245094264]",3884,0.95,34956,True,confidence_only,0.45723688782746175,0,0.44040276676722045,average_precision,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,confidence_only,43,original_image_cluster_bootstrap_within_seed,False,0.474095245094264,2000
20263945,defined,"[0.8311690826977989, 0.8455899574871553]",3884,0.95,34956,True,confidence_only,0.8384628913628936,0,0.8311690826977989,auroc,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,confidence_only,43,original_image_cluster_bootstrap_within_seed,False,0.8455899574871553,2000
20263954,defined,"[0.44988243951160484, 0.4842120871110288]",3884,0.95,34956,True,entropy_only,0.4665936981162476,0,0.44988243951160484,average_precision,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,entropy_only,43,original_image_cluster_bootstrap_within_seed,False,0.4842120871110288,2000
20263955,defined,"[0.8330124099948661, 0.848920738004441]",3884,0.95,34956,True,entropy_only,0.8409721154304942,0,0.8330124099948661,auroc,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,entropy_only,43,original_image_cluster_bootstrap_within_seed,False,0.848920738004441,2000
20263964,defined,"[0.44765955479091546, 0.48249418541615663]",3884,0.95,34956,True,output_only,0.46498992333183015,0,0.44765955479091546,average_precision,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,output_only,43,original_image_cluster_bootstrap_within_seed,False,0.48249418541615663,2000
20263965,defined,"[0.8336874501411731, 0.8483730844346132]",3884,0.95,34956,True,output_only,0.8409661941931199,0,0.8336874501411731,auroc,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,output_only,43,original_image_cluster_bootstrap_within_seed,False,0.8483730844346132,2000
20263974,defined,"[0.8814533263794425, 0.898068942278289]",3884,0.95,34956,True,output_plus_representation,0.8896913323317281,0,0.8814533263794425,average_precision,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,output_plus_representation,43,original_image_cluster_bootstrap_within_seed,False,0.898068942278289,2000
20263975,defined,"[0.9789440704458012, 0.98266485649582]",3884,0.95,34956,True,output_plus_representation,0.9808508356610236,0,0.9789440704458012,auroc,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,output_plus_representation,43,original_image_cluster_bootstrap_within_seed,False,0.98266485649582,2000
20263984,defined,"[0.8497480882250912, 0.8707318903298551]",3884,0.95,34956,True,representation_only,0.8601604918020077,0,0.8497480882250912,average_precision,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,representation_only,43,original_image_cluster_bootstrap_within_seed,False,0.8707318903298551,2000
20263985,defined,"[0.938664289113565, 0.9504220889310047]",3884,0.95,34956,True,representation_only,0.9444832410209559,0,0.938664289113565,auroc,vit_small_patch16_224,4150,0.11872067742304611,vit_small_patch16_224-seed43,representation_only,43,original_image_cluster_bootstrap_within_seed,False,0.9504220889310047,2000
