bh_q_value,bh_rejected,cluster_pairs,defined,family,metric,model,nonzero_pairs,p_value,rank_biserial,seed,statistic
0.0,True,4050,True,spectral_appearance,js_divergence,resnet50,4050,0.0,0.9570473987523276,17,176176.0
4.2561622140329297e-221,True,4050,True,spectral_appearance,normalized_representation_instability,resnet50,1332,3.1921216605246974e-221,1.0,17,0.0
0.0,True,4050,True,texture,js_divergence,resnet50,4050,0.0,0.9697106338626951,17,124236.0
5.0058947070216155e-139,True,4050,True,texture,normalized_representation_instability,resnet50,828,4.171578922518013e-139,1.0,17,0.0
0.0,True,4050,True,resolution,js_divergence,resnet50,4050,0.0,0.9901468620764268,17,40414.0
0.0,True,4050,True,resolution,normalized_representation_instability,resnet50,4007,0.0,0.9820817561283721,17,71942.0
0.0,True,4050,True,spectral_appearance,js_divergence,resnet50,4050,0.0,0.9567801884003645,29,177272.0
1.8362818644138615e-142,True,4050,True,spectral_appearance,normalized_representation_instability,resnet50,853,1.4792270574444994e-142,1.0,29,0.0
0.0,True,4050,True,texture,js_divergence,resnet50,4050,0.0,0.9641218903425766,29,147159.0
7.535041807886326e-84,True,4050,True,texture,normalized_representation_instability,resnet50,497,7.325735091000594e-84,1.0,29,0.0
0.0,True,4050,True,resolution,js_divergence,resnet50,4050,0.0,0.9953638028714141,29,19016.0
0.0,True,4050,True,resolution,normalized_representation_instability,resnet50,4050,0.0,1.0,29,0.0
0.0,True,4050,True,spectral_appearance,js_divergence,resnet50,4050,0.0,0.9580021393894511,43,172260.0
1.1720615344425363e-113,True,4050,True,spectral_appearance,normalized_representation_instability,resnet50,683,1.0743897399056582e-113,1.0,43,0.0
0.0,True,4050,True,texture,js_divergence,resnet50,4050,0.0,0.9628775092874492,43,152263.0
1.5470417794271355e-77,True,4050,True,texture,normalized_representation_instability,resnet50,462,1.5470417794271355e-77,1.0,43,0.0
0.0,True,4050,True,resolution,js_divergence,resnet50,4050,0.0,0.9974093273722995,43,10626.0
0.0,True,4050,True,resolution,normalized_representation_instability,resnet50,4042,0.0,1.0,43,0.0
0.0,True,4050,True,spectral_appearance,js_divergence,vit_small_patch16_224,4050,0.0,0.9681690544325284,17,130559.0
1.4091302189739684e-252,True,4050,True,spectral_appearance,normalized_representation_instability,vit_small_patch16_224,1527,1.017705158147866e-252,1.0,17,0.0
0.0,True,4050,True,texture,js_divergence,vit_small_patch16_224,4050,0.0,0.9721859866943385,17,114083.0
5.218102762704298e-99,True,4050,True,texture,normalized_representation_instability,vit_small_patch16_224,588,4.928208164776281e-99,1.0,17,0.0
0.0,True,4050,True,resolution,js_divergence,vit_small_patch16_224,4050,0.0,0.9955439748149367,17,18277.0
0.0,True,4050,True,resolution,normalized_representation_instability,vit_small_patch16_224,2972,0.0,1.0,17,0.0
0.0,True,4050,True,spectral_appearance,js_divergence,vit_small_patch16_224,4050,0.0,0.9819111269584404,29,74194.0
2.647788940192527e-302,True,4050,True,spectral_appearance,normalized_representation_instability,vit_small_patch16_224,1837,1.8387423195781436e-302,1.0,29,0.0
0.0,True,4050,True,texture,js_divergence,vit_small_patch16_224,4050,0.0,0.9748824707205354,29,103023.0
2.9186192340330478e-115,True,4050,True,texture,normalized_representation_instability,vit_small_patch16_224,689,2.594328208029376e-115,1.0,29,0.0
0.0,True,4050,True,resolution,js_divergence,vit_small_patch16_224,4050,0.0,0.9994426616199018,29,2286.0
0.0,True,4050,True,resolution,normalized_representation_instability,vit_small_patch16_224,3115,0.0,1.0,29,0.0
0.0,True,4050,True,spectral_appearance,js_divergence,vit_small_patch16_224,4050,0.0,0.9862140425622693,43,56545.0
8.94557252225418e-203,True,4050,True,spectral_appearance,normalized_representation_instability,vit_small_patch16_224,1228,6.957667517308807e-203,1.0,43,0.0
0.0,True,4050,True,texture,js_divergence,vit_small_patch16_224,4050,0.0,0.9887501028552621,43,46143.0
5.822798105168849e-120,True,4050,True,texture,normalized_representation_instability,vit_small_patch16_224,720,5.01407614611762e-120,1.0,43,0.0
0.0,True,4050,True,resolution,js_divergence,vit_small_patch16_224,4050,0.0,0.9972662137987572,43,11213.0
0.0,True,4050,True,resolution,normalized_representation_instability,vit_small_patch16_224,3292,0.0,1.0,43,0.0
