count,error_scope,family,model,predicted_macro_cluster,severity,true_macro_cluster
303,within_macro,resolution,resnet50,anthropogenic,mild,anthropogenic
237,cross_macro,resolution,resnet50,natural,mild,anthropogenic
132,cross_macro,resolution,resnet50,anthropogenic,mild,natural
682,within_macro,resolution,resnet50,natural,mild,natural
1406,within_macro,resolution,resnet50,anthropogenic,moderate,anthropogenic
1524,cross_macro,resolution,resnet50,natural,moderate,anthropogenic
784,cross_macro,resolution,resnet50,anthropogenic,moderate,natural
2299,within_macro,resolution,resnet50,natural,moderate,natural
1540,within_macro,resolution,resnet50,anthropogenic,severe,anthropogenic
3871,cross_macro,resolution,resnet50,natural,severe,anthropogenic
235,cross_macro,resolution,resnet50,anthropogenic,severe,natural
4778,within_macro,resolution,resnet50,natural,severe,natural
12,within_macro,spectral_appearance,resnet50,anthropogenic,mild,anthropogenic
38,cross_macro,spectral_appearance,resnet50,natural,mild,anthropogenic
26,cross_macro,spectral_appearance,resnet50,anthropogenic,mild,natural
8,within_macro,spectral_appearance,resnet50,natural,mild,natural
53,within_macro,spectral_appearance,resnet50,anthropogenic,moderate,anthropogenic
97,cross_macro,spectral_appearance,resnet50,natural,moderate,anthropogenic
52,cross_macro,spectral_appearance,resnet50,anthropogenic,moderate,natural
39,within_macro,spectral_appearance,resnet50,natural,moderate,natural
239,within_macro,spectral_appearance,resnet50,anthropogenic,severe,anthropogenic
277,cross_macro,spectral_appearance,resnet50,natural,severe,anthropogenic
114,cross_macro,spectral_appearance,resnet50,anthropogenic,severe,natural
202,within_macro,spectral_appearance,resnet50,natural,severe,natural
5,within_macro,texture,resnet50,anthropogenic,mild,anthropogenic
5,cross_macro,texture,resnet50,natural,mild,anthropogenic
3,cross_macro,texture,resnet50,anthropogenic,mild,natural
7,within_macro,texture,resnet50,natural,mild,natural
20,within_macro,texture,resnet50,anthropogenic,moderate,anthropogenic
14,cross_macro,texture,resnet50,natural,moderate,anthropogenic
58,cross_macro,texture,resnet50,anthropogenic,moderate,natural
77,within_macro,texture,resnet50,natural,moderate,natural
110,within_macro,texture,resnet50,anthropogenic,severe,anthropogenic
45,cross_macro,texture,resnet50,natural,severe,anthropogenic
262,cross_macro,texture,resnet50,anthropogenic,severe,natural
173,within_macro,texture,resnet50,natural,severe,natural
253,within_macro,resolution,vit_small_patch16_224,anthropogenic,mild,anthropogenic
116,cross_macro,resolution,vit_small_patch16_224,natural,mild,anthropogenic
64,cross_macro,resolution,vit_small_patch16_224,anthropogenic,mild,natural
114,within_macro,resolution,vit_small_patch16_224,natural,mild,natural
764,within_macro,resolution,vit_small_patch16_224,anthropogenic,moderate,anthropogenic
1023,cross_macro,resolution,vit_small_patch16_224,natural,moderate,anthropogenic
155,cross_macro,resolution,vit_small_patch16_224,anthropogenic,moderate,natural
527,within_macro,resolution,vit_small_patch16_224,natural,moderate,natural
1389,within_macro,resolution,vit_small_patch16_224,anthropogenic,severe,anthropogenic
2248,cross_macro,resolution,vit_small_patch16_224,natural,severe,anthropogenic
491,cross_macro,resolution,vit_small_patch16_224,anthropogenic,severe,natural
2464,within_macro,resolution,vit_small_patch16_224,natural,severe,natural
62,within_macro,spectral_appearance,vit_small_patch16_224,anthropogenic,mild,anthropogenic
56,cross_macro,spectral_appearance,vit_small_patch16_224,natural,mild,anthropogenic
36,cross_macro,spectral_appearance,vit_small_patch16_224,anthropogenic,mild,natural
25,within_macro,spectral_appearance,vit_small_patch16_224,natural,mild,natural
162,within_macro,spectral_appearance,vit_small_patch16_224,anthropogenic,moderate,anthropogenic
120,cross_macro,spectral_appearance,vit_small_patch16_224,natural,moderate,anthropogenic
97,cross_macro,spectral_appearance,vit_small_patch16_224,anthropogenic,moderate,natural
70,within_macro,spectral_appearance,vit_small_patch16_224,natural,moderate,natural
516,within_macro,spectral_appearance,vit_small_patch16_224,anthropogenic,severe,anthropogenic
358,cross_macro,spectral_appearance,vit_small_patch16_224,natural,severe,anthropogenic
288,cross_macro,spectral_appearance,vit_small_patch16_224,anthropogenic,severe,natural
268,within_macro,spectral_appearance,vit_small_patch16_224,natural,severe,natural
6,within_macro,texture,vit_small_patch16_224,anthropogenic,mild,anthropogenic
5,cross_macro,texture,vit_small_patch16_224,natural,mild,anthropogenic
6,cross_macro,texture,vit_small_patch16_224,anthropogenic,mild,natural
9,within_macro,texture,vit_small_patch16_224,natural,mild,natural
52,within_macro,texture,vit_small_patch16_224,anthropogenic,moderate,anthropogenic
23,cross_macro,texture,vit_small_patch16_224,natural,moderate,anthropogenic
52,cross_macro,texture,vit_small_patch16_224,anthropogenic,moderate,natural
41,within_macro,texture,vit_small_patch16_224,natural,moderate,natural
174,within_macro,texture,vit_small_patch16_224,anthropogenic,severe,anthropogenic
47,cross_macro,texture,vit_small_patch16_224,natural,severe,anthropogenic
240,cross_macro,texture,vit_small_patch16_224,anthropogenic,severe,natural
115,within_macro,texture,vit_small_patch16_224,natural,severe,natural
