ci,cluster_pairs,clusters,contrast,defined,effect,effect_direction,family,holm_adjusted_p,holm_family_test_count,holm_familywise_alpha,holm_rejected,invalid_replicates,left_model,model,nonzero_pairs,observations,p_value,primary_test_defined,rank_biserial,right_model,seed,statistic,uncertainty_source,valid_replicates
"[0.06395061728395061, 0.07975308641975308]",,4050,rq1_label_inconsistency_severe_minus_mild,True,0.07160493827160494,,spectral_appearance,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.03867050020157291, 0.047436770485120044]",,4050,rq1_js_severe_minus_mild,True,0.04291065055366814,,spectral_appearance,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.0029495900015241577, 0.004680778844688308]",,4050,rq2_normalized_instability_severe_minus_mild,True,0.0037796067672610885,,spectral_appearance,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.04518518518518518, 0.05876543209876543]",,4050,rq1_label_inconsistency_severe_minus_mild,True,0.05185185185185185,,texture,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.029105695101141874, 0.03655575247884008]",,4050,rq1_js_severe_minus_mild,True,0.03285178321091185,,texture,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.001419804907788447, 0.0023463069654016157]",,4050,rq2_normalized_instability_severe_minus_mild,True,0.0018538637402834934,,texture,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.7125925925925926, 0.7397530864197531]",,4050,rq1_label_inconsistency_severe_minus_mild,True,0.725925925925926,,resolution,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.5026729487422225, 0.519419926809274]",,4050,rq1_js_severe_minus_mild,True,0.5108765505491254,,resolution,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.5991278250266726, 0.6217542844078647]",,4050,rq2_normalized_instability_severe_minus_mild,True,0.610413839353757,,resolution,,,,,0,,resnet50,,4050,,,,,17,,original_image_cluster_bootstrap_within_seed,2000
"[0.06, 0.07580246913580246]",,4050,rq1_label_inconsistency_severe_minus_mild,True,0.06765432098765432,,spectral_appearance,,,,,0,,resnet50,,4050,,,,,29,,original_image_cluster_bootstrap_within_seed,2000
"[0.03798510490720603, 0.04666604778608705]",,4050,rq1_js_severe_minus_mild,True,0.042211725902214885,,spectral_appearance,,,,,0,,resnet50,,4050,,,,,29,,original_image_cluster_bootstrap_within_seed,2000
"[0.001823936899862826, 0.0034066026520347494]",,4050,rq2_normalized_instability_severe_minus_mild,True,0.002545709495503734,,spectral_appearance,,,,,0,,resnet50,,4050,,,,,29,,original_image_cluster_bootstrap_within_seed,2000
"[0.045925925925925926, 0.06]",,4050,rq1_label_inconsistency_severe_minus_mild,True,0.05283950617283951,,texture,,,,,0,,resnet50,,4050,,,,,29,,original_image_cluster_bootstrap_within_seed,2000
"[0.029114059006323172, 0.03673941819266654]",,4050,rq1_js_severe_minus_mild,True,0.032892925527223234,,texture,,,,,0,,resnet50,,4050,,,,,29,,original_image_cluster_bootstrap_within_seed,2000
