contrast,defined,family,mean,model,per_seed,sd,seed_count,uncertainty_source
rq1_js_severe_minus_mild,True,resolution,0.5218848617870594,resnet50,"{'17': 0.5108765505491254, '29': 0.5384723190887734, '43': 0.5163057157232795}",0.01461939682149024,3,training_seed_estimates
rq1_js_severe_minus_mild,True,spectral_appearance,0.03969301269927188,resnet50,"{'17': 0.04291065055366814, '29': 0.042211725902214885, '43': 0.03395666164193261}",0.004980102057877958,3,training_seed_estimates
rq1_js_severe_minus_mild,True,texture,0.03201919922866312,resnet50,"{'17': 0.03285178321091185, '29': 0.032892925527223234, '43': 0.030312888947854274}",0.001477851228420283,3,training_seed_estimates
rq1_js_severe_minus_mild,True,resolution,0.33760042265154294,vit_small_patch16_224,"{'17': 0.3181655844335714, '29': 0.31620046493870363, '43': 0.37843521858235385}",0.035377617821024984,3,training_seed_estimates
rq1_js_severe_minus_mild,True,spectral_appearance,0.06600064491507147,vit_small_patch16_224,"{'17': 0.06350929114841347, '29': 0.0891525111689373, '43': 0.04534013242786365}",0.022012184476575724,3,training_seed_estimates
rq1_js_severe_minus_mild,True,texture,0.03345394563917683,vit_small_patch16_224,"{'17': 0.03436632680507758, '29': 0.033075355369758544, '43': 0.03292015474269435}",0.0007939466937887535,3,training_seed_estimates
rq1_label_inconsistency_severe_minus_mild,True,resolution,0.7530864197530863,resnet50,"{'17': 0.725925925925926, '29': 0.7982716049382717, '43': 0.7350617283950617}",0.039397226321828516,3,training_seed_estimates
rq1_label_inconsistency_severe_minus_mild,True,spectral_appearance,0.06452674897119341,resnet50,"{'17': 0.07160493827160494, '29': 0.06765432098765432, '43': 0.05432098765432099}",0.009056490339739208,3,training_seed_estimates
rq1_label_inconsistency_severe_minus_mild,True,texture,0.05127572016460905,resnet50,"{'17': 0.05185185185185185, '29': 0.05283950617283951, '43': 0.049135802469135806}",0.001917889744482475,3,training_seed_estimates
rq1_label_inconsistency_severe_minus_mild,True,resolution,0.5134979423868313,vit_small_patch16_224,"{'17': 0.4723456790123457, '29': 0.4782716049382716, '43': 0.5898765432098766}",0.06621213746198247,3,training_seed_estimates
rq1_label_inconsistency_severe_minus_mild,True,spectral_appearance,0.111440329218107,vit_small_patch16_224,"{'17': 0.10049382716049382, '29': 0.14938271604938272, '43': 0.08444444444444445}",0.033824757356589866,3,training_seed_estimates
rq1_label_inconsistency_severe_minus_mild,True,texture,0.058271604938271604,vit_small_patch16_224,"{'17': 0.055308641975308645, '29': 0.05851851851851852, '43': 0.060987654320987655}",0.0028475463196718,3,training_seed_estimates
rq2_cross_model_difference_in_differences,True,resolution,-0.5257186607732561,vit_small_patch16_224_minus_resnet50,"{'17': -0.5262708733424782, '29': -0.49564670019814056, '43': -0.5552384087791495}",0.02979969189341024,3,training_seed_estimates
rq2_cross_model_difference_in_differences,True,spectral_appearance,0.0025023014784331657,vit_small_patch16_224_minus_resnet50,"{'17': 0.0005024234110653864, '29': 0.007543362292333485, '43': -0.000538881268099375}",0.004396623642727863,3,training_seed_estimates
rq2_cross_model_difference_in_differences,True,texture,2.2110450642686565e-05,vit_small_patch16_224_minus_resnet50,"{'17': -0.00010906873952141445, '29': 6.255144032921809e-05, '43': 0.00011284865112025605}",0.00011635479062944317,3,training_seed_estimates
rq2_normalized_instability_severe_minus_mild,True,resolution,0.6131499466544735,resnet50,"{'17': 0.610413839353757, '29': 0.5784476756591984, '43': 0.6505883249504649}",0.03614807093624988,3,training_seed_estimates
rq2_normalized_instability_severe_minus_mild,True,spectral_appearance,0.002848366610780877,resnet50,"{'17': 0.0037796067672610885, '29': 0.002545709495503734, '43': 0.0022197835695778084}",0.0008227776729339674,3,training_seed_estimates
rq2_normalized_instability_severe_minus_mild,True,texture,0.0014671747193009197,resnet50,"{'17': 0.0018538637402834934, '29': 0.0012887669562566683, '43': 0.0012588934613625973}",0.000335215461510418,3,training_seed_estimates
rq2_normalized_instability_severe_minus_mild,True,resolution,0.08743128588121729,vit_small_patch16_224,"{'17': 0.08414296601127877, '29': 0.08280097546105776, '43': 0.09534991617131534}",0.00689048357611165,3,training_seed_estimates
rq2_normalized_instability_severe_minus_mild,True,spectral_appearance,0.005350668089214042,vit_small_patch16_224,"{'17': 0.004282030178326473, '29': 0.010089071787837219, '43': 0.0016809023014784333}",0.004304743751522656,3,training_seed_estimates
rq2_normalized_instability_severe_minus_mild,True,texture,0.0014892851699436062,vit_small_patch16_224,"{'17': 0.001744795000762079, '29': 0.0013513183965858863, '43': 0.0013717421124828531}",0.0002215135148843597,3,training_seed_estimates
rq3_nested_detector_delta_auroc,True,all_accepted_non_sham,0.16588192320550635,resnet50,"{'17': 0.21937386254399371, '29': 0.06606229957832288, '43': 0.21220960749420248}",0.08652051539033409,3,training_seed_estimates
rq3_nested_detector_delta_auroc,True,all_accepted_non_sham,0.11373685493184656,vit_small_patch16_224,"{'17': 0.09722754689424673, '29': 0.10409837643338926, '43': 0.1398846414679037}",0.02290375799274862,3,training_seed_estimates
rq3_nested_detector_delta_average_precision,True,all_accepted_non_sham,0.43171817907696886,resnet50,"{'17': 0.5100735878288222, '29': 0.30185988294804755, '43': 0.48322106645403684}",0.11325920395789381,3,training_seed_estimates
rq3_nested_detector_delta_average_precision,True,all_accepted_non_sham,0.4021462050765901,vit_small_patch16_224,"{'17': 0.4165095884757143, '29': 0.365227617754158, '43': 0.424701408999898}",0.032233725324388764,3,training_seed_estimates
