count,family,model,positives,prevalence,run,seed,severity
3996,resolution,resnet50,500,0.12512512512512514,resnet50-seed17,17,mild
3996,resolution,resnet50,1887,0.4722222222222222,resnet50-seed17,17,moderate
3996,resolution,resnet50,3416,0.8548548548548549,resnet50-seed17,17,severe
3996,spectral_appearance,resnet50,31,0.007757757757757758,resnet50-seed17,17,mild
3996,spectral_appearance,resnet50,86,0.021521521521521522,resnet50-seed17,17,moderate
3996,spectral_appearance,resnet50,312,0.07807807807807808,resnet50-seed17,17,severe
3996,texture,resnet50,6,0.0015015015015015015,resnet50-seed17,17,mild
3996,texture,resnet50,56,0.014014014014014014,resnet50-seed17,17,moderate
3996,texture,resnet50,199,0.0497997997997998,resnet50-seed17,17,severe
3993,resolution,resnet50,416,0.10418231905835211,resnet50-seed29,29,mild
3993,resolution,resnet50,1967,0.4926120711244678,resnet50-seed29,29,moderate
3993,resolution,resnet50,3618,0.9060856498873028,resnet50-seed29,29,severe
3993,spectral_appearance,resnet50,27,0.0067618332081141996,resnet50-seed29,29,mild
3993,spectral_appearance,resnet50,82,0.02053593789130979,resnet50-seed29,29,moderate
3993,spectral_appearance,resnet50,285,0.07137490608564989,resnet50-seed29,29,severe
3993,texture,resnet50,9,0.002253944402704733,resnet50-seed29,29,mild
3993,texture,resnet50,59,0.014775857751064363,resnet50-seed29,29,moderate
3993,texture,resnet50,203,0.0508389681943401,resnet50-seed29,29,severe
3994,resolution,resnet50,438,0.10966449674511768,resnet50-seed43,43,mild
3994,resolution,resnet50,2159,0.5405608412618929,resnet50-seed43,43,moderate
3994,resolution,resnet50,3390,0.8487731597396094,resnet50-seed43,43,severe
3994,spectral_appearance,resnet50,26,0.006509764646970456,resnet50-seed43,43,mild
3994,spectral_appearance,resnet50,73,0.01827741612418628,resnet50-seed43,43,moderate
3994,spectral_appearance,resnet50,235,0.05883825738607912,resnet50-seed43,43,severe
3994,texture,resnet50,5,0.0012518778167250877,resnet50-seed43,43,mild
3994,texture,resnet50,54,0.013520280420630946,resnet50-seed43,43,moderate
3994,texture,resnet50,188,0.04707060590886329,resnet50-seed43,43,severe
3975,resolution,vit_small_patch16_224,117,0.02943396226415094,vit_small_patch16_224-seed17,17,mild
3975,resolution,vit_small_patch16_224,708,0.1781132075471698,vit_small_patch16_224-seed17,17,moderate
3975,resolution,vit_small_patch16_224,1997,0.5023899371069183,vit_small_patch16_224-seed17,17,severe
3975,spectral_appearance,vit_small_patch16_224,51,0.012830188679245283,vit_small_patch16_224-seed17,17,mild
3975,spectral_appearance,vit_small_patch16_224,123,0.030943396226415093,vit_small_patch16_224-seed17,17,moderate
3975,spectral_appearance,vit_small_patch16_224,433,0.10893081761006289,vit_small_patch16_224-seed17,17,severe
3975,texture,vit_small_patch16_224,5,0.0012578616352201257,vit_small_patch16_224-seed17,17,mild
3975,texture,vit_small_patch16_224,46,0.011572327044025157,vit_small_patch16_224-seed17,17,moderate
3975,texture,vit_small_patch16_224,204,0.05132075471698113,vit_small_patch16_224-seed17,17,severe
3898,resolution,vit_small_patch16_224,292,0.07491021036428938,vit_small_patch16_224-seed29,29,mild
3898,resolution,vit_small_patch16_224,930,0.23858388917393536,vit_small_patch16_224-seed29,29,moderate
3898,resolution,vit_small_patch16_224,2152,0.5520779887121601,vit_small_patch16_224-seed29,29,severe
3898,spectral_appearance,vit_small_patch16_224,91,0.023345305284761416,vit_small_patch16_224-seed29,29,mild
3898,spectral_appearance,vit_small_patch16_224,234,0.06003078501795793,vit_small_patch16_224-seed29,29,moderate
3898,spectral_appearance,vit_small_patch16_224,658,0.16880451513596717,vit_small_patch16_224-seed29,29,severe
3898,texture,vit_small_patch16_224,10,0.002565418163160595,vit_small_patch16_224-seed29,29,mild
3898,texture,vit_small_patch16_224,61,0.01564905079527963,vit_small_patch16_224-seed29,29,moderate
3898,texture,vit_small_patch16_224,174,0.044638276038994354,vit_small_patch16_224-seed29,29,severe
3884,resolution,vit_small_patch16_224,138,0.03553038105046344,vit_small_patch16_224-seed43,43,mild
3884,resolution,vit_small_patch16_224,831,0.2139546858908342,vit_small_patch16_224-seed43,43,moderate
3884,resolution,vit_small_patch16_224,2443,0.6289907312049433,vit_small_patch16_224-seed43,43,severe
3884,spectral_appearance,vit_small_patch16_224,37,0.00952626158599382,vit_small_patch16_224-seed43,43,mild
3884,spectral_appearance,vit_small_patch16_224,92,0.02368692070030896,vit_small_patch16_224-seed43,43,moderate
3884,spectral_appearance,vit_small_patch16_224,339,0.0872811534500515,vit_small_patch16_224-seed43,43,severe
3884,texture,vit_small_patch16_224,11,0.0028321318228630276,vit_small_patch16_224-seed43,43,mild
3884,texture,vit_small_patch16_224,61,0.015705458290422244,vit_small_patch16_224-seed43,43,moderate
3884,texture,vit_small_patch16_224,198,0.0509783728115345,vit_small_patch16_224-seed43,43,severe
