Model,Seed,Metric,Gain,95\% clustered CI
ResNet-50,17,AP,0.5101,"[0.4977, 0.5206]"
ResNet-50,17,AUROC,0.2194,"[0.2133, 0.2254]"
ResNet-50,29,AP,0.3019,"[0.2913, 0.3130]"
ResNet-50,29,AUROC,0.0661,"[0.0636, 0.0687]"
ResNet-50,43,AP,0.4832,"[0.4712, 0.4952]"
ResNet-50,43,AUROC,0.2122,"[0.2057, 0.2189]"
ViT-Small/16,17,AP,0.4165,"[0.4010, 0.4318]"
ViT-Small/16,17,AUROC,0.0972,"[0.0917, 0.1029]"
ViT-Small/16,29,AP,0.3652,"[0.3506, 0.3792]"
ViT-Small/16,29,AUROC,0.1041,"[0.0988, 0.1095]"
ViT-Small/16,43,AP,0.4247,"[0.4090, 0.4383]"
ViT-Small/16,43,AUROC,0.1399,"[0.1328, 0.1470]"
