Model,Family,Severity,Accuracy (\%),Consistency (\%),Raw cosine,ECDF
ResNet-50,RGB gain,mild,98.16 $\pm$ 0.04,99.06 $\pm$ 0.11,0.9932 $\pm$ 0.0004,0.00000 $\pm$ 0.00000
ResNet-50,RGB gain,moderate,96.98 $\pm$ 0.10,97.61 $\pm$ 0.25,0.9762 $\pm$ 0.0013,0.00014 $\pm$ 0.00006
ResNet-50,RGB gain,severe,92.14 $\pm$ 0.88,92.61 $\pm$ 1.02,0.9298 $\pm$ 0.0046,0.00285 $\pm$ 0.00082
ResNet-50,Amplitude mixing,mild,98.73 $\pm$ 0.06,99.52 $\pm$ 0.10,0.9964 $\pm$ 0.0002,0.00000 $\pm$ 0.00000
ResNet-50,Amplitude mixing,moderate,97.73 $\pm$ 0.11,98.07 $\pm$ 0.12,0.9773 $\pm$ 0.0003,0.00015 $\pm$ 0.00005
ResNet-50,Amplitude mixing,severe,94.41 $\pm$ 0.18,94.40 $\pm$ 0.26,0.9446 $\pm$ 0.0003,0.00147 $\pm$ 0.00034
ResNet-50,Resolution,mild,87.89 $\pm$ 1.00,88.26 $\pm$ 1.14,0.8698 $\pm$ 0.0071,0.00702 $\pm$ 0.00225
ResNet-50,Resolution,moderate,49.47 $\pm$ 3.56,49.55 $\pm$ 3.48,0.6640 $\pm$ 0.0283,0.17330 $\pm$ 0.03973
ResNet-50,Resolution,severe,12.94 $\pm$ 3.14,12.95 $\pm$ 3.10,0.3929 $\pm$ 0.0217,0.62017 $\pm$ 0.03793
ViT-Small/16,RGB gain,mild,95.78 $\pm$ 1.24,97.91 $\pm$ 0.99,0.9863 $\pm$ 0.0065,0.00002 $\pm$ 0.00002
ViT-Small/16,RGB gain,moderate,93.80 $\pm$ 2.21,95.33 $\pm$ 2.11,0.9521 $\pm$ 0.0195,0.00041 $\pm$ 0.00051
ViT-Small/16,RGB gain,severe,85.85 $\pm$ 4.14,86.77 $\pm$ 4.36,0.8578 $\pm$ 0.0442,0.00537 $\pm$ 0.00433
ViT-Small/16,Amplitude mixing,mild,97.13 $\pm$ 1.08,99.13 $\pm$ 0.33,0.9962 $\pm$ 0.0004,0.00000 $\pm$ 0.00000
ViT-Small/16,Amplitude mixing,moderate,96.66 $\pm$ 0.97,97.14 $\pm$ 0.84,0.9734 $\pm$ 0.0023,0.00015 $\pm$ 0.00004
ViT-Small/16,Amplitude mixing,severe,93.59 $\pm$ 0.88,93.30 $\pm$ 0.59,0.9284 $\pm$ 0.0047,0.00149 $\pm$ 0.00022
ViT-Small/16,Resolution,mild,92.89 $\pm$ 3.12,94.63 $\pm$ 2.31,0.9647 $\pm$ 0.0090,0.00012 $\pm$ 0.00012
ViT-Small/16,Resolution,moderate,77.17 $\pm$ 3.69,78.29 $\pm$ 3.14,0.8403 $\pm$ 0.0127,0.00880 $\pm$ 0.00471
ViT-Small/16,Resolution,severe,43.00 $\pm$ 6.71,43.28 $\pm$ 6.58,0.5550 $\pm$ 0.0194,0.08755 $\pm$ 0.00682
